code_national_tri,libelle_tri,liste_libelle_risque,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune
01DREAL20160001,Lyon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01030,BEAUREGARD
01DREAL20160001,Lyon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01043,BEYNOST
71DREAL20140002,TRI du Mâconnais,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",RMC,12/12/2012,20/12/2013,15/02/2016,04/03/2016,21/12/2016,27/04/2012,01123,CORMORANCHE-SUR-SAONE
71DREAL20140002,TRI du Mâconnais,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",RMC,12/12/2012,20/12/2013,15/02/2016,04/03/2016,21/12/2016,27/04/2012,01134,CROTTET
01DREAL20160001,Lyon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01157,FAREINS
71DREAL20140002,TRI du Mâconnais,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",RMC,12/12/2012,20/12/2013,15/02/2016,04/03/2016,21/12/2016,27/04/2012,01159,FEILLENS
01DREAL20160001,Lyon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01166,FRANS
71DREAL20140002,TRI du Mâconnais,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",RMC,12/12/2012,20/12/2013,15/02/2016,04/03/2016,21/12/2016,27/04/2012,01179,GRIEGES
01DREAL20160001,Lyon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,12/12/2012,20/12/2013,15/02/2016,,,06/11/2012,01194,JASSANS-RIOTTIER
71DREAL20140002,TRI du Mâconnais,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",RMC,12/12/2012,20/12/2013,15/02/2016,04/03/2016,21/12/2016,27/04/2012,01203,LAIZ
