id,type,geometry.type,geometry.coordinates,properties.idmutinvar,properties.idopendata,properties.datemut,properties.anneemut,properties.coddep,properties.libnatmut,properties.vefa,properties.valeurfonc,properties.nbcomm,properties.l_codinsee,properties.nbpar,properties.l_idpar,properties.nbparmut,properties.l_idparmut,properties.sterr,properties.nbvolmut,properties.nblocmut,properties.l_idlocmut,properties.sbati,properties.codtypbien,properties.libtypbien
3328505,Feature,MultiPolygon,"[[[[4.350364, 43.829689], [4.350401, 43.829695], [4.350532, 43.829718], [4.350591, 43.829728], [4.350526, 43.829921], [4.350514, 43.829956], [4.350458, 43.829945], [4.350286, 43.829912], [4.350332, 43.829779], [4.350364, 43.829689]]]]",e195899368b98ee8c9cf38289caf09f3,e195899368b98ee8c9cf38289caf09f3,2024-06-17,2024,30,Vente,False,205000.00,1,['30189'],1,['30189000EI0068'],0,,0.00,0,4,"['301890005069210_0', '301890005069211_0', '301890005069212_0', '301890005069213_0']",69.00,121,UN APPARTEMENT
3328520,Feature,MultiPolygon,"[[[[4.355623, 43.829989], [4.355539, 43.829873], [4.355808, 43.82976], [4.355887, 43.829857], [4.355623, 43.829989]]]]",4bb4290c177491b3eec97182e9555119,4bb4290c177491b3eec97182e9555119,2024-06-05,2024,30,Vente,False,72950.00,1,['30189'],1,['30189000EX0690'],0,,0.00,0,1,['301890005068928_0'],31.00,121,UN APPARTEMENT
3328545,Feature,MultiPolygon,"[[[[4.352059, 43.82766], [4.352083, 43.827618], [4.352105, 43.827582], [4.352152, 43.827441], [4.352254, 43.827473], [4.352239, 43.827498], [4.3522, 43.827563], [4.352181, 43.827595], [4.352259, 43.82762], [4.352257, 43.827623], [4.352284, 43.827631], [4.3525, 43.827699], [4.35252, 43.827703], [4.352701, 43.827733], [4.352627, 43.82798], [4.352506, 43.827961], [4.352464, 43.827954], [4.352351, 43.827937], [4.352227, 43.827918], [4.352176, 43.82791], [4.352049, 43.827868], [4.352029, 43.827861], [4.351952, 43.827836], [4.351974, 43.827799], [4.352059, 43.82766]]]]",ae86be6aa0cd252435ea2fb8468784e2,ae86be6aa0cd252435ea2fb8468784e2,2024-02-26,2024,30,Vente,False,100000.00,1,['30189'],1,['30189000EI0822'],0,,0.00,0,1,['301890005059468_0'],71.00,121,UN APPARTEMENT
3328556,Feature,MultiPolygon,"[[[[4.36112, 43.839291], [4.361145, 43.839288], [4.361184, 43.839284], [4.361157, 43.839218], [4.361214, 43.839178], [4.361223, 43.839207], [4.361289, 43.839197], [4.361296, 43.839216], [4.361384, 43.839207], [4.361397, 43.839239], [4.361402, 43.83925], [4.361313, 43.839273], [4.361342, 43.839336], [4.361357, 43.83938], [4.361154, 43.839403], [4.361139, 43.839348], [4.361135, 43.839335], [4.36112, 43.839291]]]]",f80791c4e70699500b759055e45c4657,f80791c4e70699500b759055e45c4657,2024-05-02,2024,30,Vente,False,73730.00,1,['30189'],1,['30189000DO1394'],0,,0.00,0,5,"['301890005066834_0', '301890005066835_0', '301890005066836_0', '301890005066837_0', '301890005066838_0']",45.00,121,UN APPARTEMENT
3328558,Feature,MultiPolygon,"[[[[4.36836, 43.826331], [4.368368, 43.826333], [4.368327, 43.826377], [4.368085, 43.826633], [4.368026, 43.826696], [4.367971, 43.826754], [4.36792, 43.82673], [4.367689, 43.826622], [4.367063, 43.82633], [4.366913, 43.826261], [4.366904, 43.826257], [4.366897, 43.826254], [4.366891, 43.82625], [4.366885, 43.826245], [4.366881, 43.826241], [4.366877, 43.826236], [4.366875, 43.826231], [4.366875, 43.826228], [4.366876, 43.826225], [4.366875, 43.826221], [4.366877, 43.826218], [4.366879, 43.826213], [4.366881, 43.826209], [4.366887, 43.826203], [4.366892, 43.826198], [4.366897, 43.826195], [4.367006, 43.826118], [4.367173, 43.826], [4.367392, 43.82606], [4.367448, 43.826076], [4.367524, 43.826097], [4.367594, 43.826116], [4.367645, 43.826131], [4.367821, 43.826179], [4.368028, 43.826238], [4.368095, 43.826257], [4.368206, 43.826288], [4.36836, 43.826331]]]]",fa066f1ec06e9632f5d2c9adf76d302e,fa066f1ec06e9632f5d2c9adf76d302e,2024-04-29,2024,30,Vente,False,107650.00,1,['30189'],1,['30189000HE0524'],0,,0.00,0,2,"['301890005065959_0', '301890005065960_0']",67.00,121,UN APPARTEMENT
3328580,Feature,MultiPolygon,"[[[[4.361307, 43.838146], [4.361288, 43.83818], [4.361188, 43.838153], [4.361204, 43.838118], [4.361307, 43.838146]]]]",e64cbeb7108867529d947639c0207ba0,e64cbeb7108867529d947639c0207ba0,2024-06-19,2024,30,Vente,False,231000.00,1,['30189'],1,['30189000EY0472'],1,['30189000EY0472'],34.00,0,4,"['301890005069664_0', '301890005069665_0', '301890005069666_0', '301890005069667_0']",83.00,120,APPARTEMENT INDETERMINE
3328587,Feature,MultiPolygon,"[[[[4.355826, 43.835379], [4.355843, 43.835386], [4.355938, 43.835426], [4.355973, 43.835441], [4.355986, 43.835426], [4.355996, 43.835431], [4.356029, 43.835444], [4.356099, 43.835475], [4.356065, 43.835522], [4.356015, 43.835532], [4.355849, 43.835459], [4.355788, 43.835433], [4.355826, 43.835379]]]]",bbc79de1732a854f5ca59ce12602c7fe,bbc79de1732a854f5ca59ce12602c7fe,2024-05-27,2024,30,Vente,False,245000.00,1,['30189'],1,['30189000EX0122'],1,['30189000EX0122'],183.00,0,7,"['301890005067729_0', '301890005067730_0', '301890005067731_0', '301890005067732_0', '301890005067733_0', '301890005067734_0', '301890005067735_0']",243.00,120,APPARTEMENT INDETERMINE
3328652,Feature,MultiPolygon,"[[[[4.351665, 43.82888], [4.351676, 43.828886], [4.35169, 43.828894], [4.351701, 43.828901], [4.351712, 43.828908], [4.351722, 43.828917], [4.35173, 43.828924], [4.351737, 43.828931], [4.351742, 43.828938], [4.351749, 43.828949], [4.351753, 43.82896], [4.351755, 43.828966], [4.351757, 43.828973], [4.351758, 43.828984], [4.351758, 43.828994], [4.352306, 43.829075], [4.352299, 43.829097], [4.35229, 43.829131], [4.352279, 43.829164], [4.352271, 43.829193], [4.35226, 43.829228], [4.352246, 43.829279], [4.352236, 43.829309], [4.351871, 43.82925], [4.351707, 43.829224], [4.35159, 43.829206], [4.351602, 43.829151], [4.351613, 43.829112], [4.351552, 43.829103], [4.351564, 43.829057], [4.351583, 43.829059], [4.351593, 43.82902], [4.351638, 43.829027], [4.351656, 43.828954], [4.351656, 43.828947], [4.351654, 43.82894], [4.35165, 43.828934], [4.351644, 43.828928], [4.351636, 43.828924], [4.351649, 43.828905], [4.351665, 43.82888]]]]",40a859fdd43ce22c18687234e3ca6ca8,40a859fdd43ce22c18687234e3ca6ca8,2024-06-24,2024,30,Vente,False,200000.00,1,['30189'],1,['30189000EI0795'],0,,0.00,0,4,"['301890005069773_0', '301890005069774_0', '301890005069775_0', '301890005069776_0']",104.00,121,UN APPARTEMENT
3328657,Feature,MultiPolygon,"[[[[4.366123, 43.830669], [4.366079, 43.830642], [4.366124, 43.830607], [4.366053, 43.830551], [4.366073, 43.830537], [4.366012, 43.830486], [4.366069, 43.830436], [4.366173, 43.830519], [4.366284, 43.83061], [4.3662, 43.830667], [4.366123, 43.830669]]]]",1f4d5cc664a25b3783950b611d5914db,1f4d5cc664a25b3783950b611d5914db,2024-05-28,2024,30,Vente,False,115000.00,1,['30189'],1,['30189000HE0084'],0,,0.00,0,1,['301890005067286_0'],63.00,121,UN APPARTEMENT
3328659,Feature,MultiPolygon,"[[[[4.360101, 43.835949], [4.36014, 43.835958], [4.360137, 43.835977], [4.360158, 43.83598], [4.360141, 43.836045], [4.359955, 43.836022], [4.35996, 43.835927], [4.360034, 43.835932], [4.360029, 43.835966], [4.360085, 43.835963], [4.360085, 43.835945], [4.360101, 43.835949]]]]",0064a85c0ed4d53bc40d364c05c693f9,0064a85c0ed4d53bc40d364c05c693f9,2024-05-23,2024,30,Vente,False,570000.00,1,['30189'],1,['30189000EY0845'],0,,0.00,0,6,"['301890005067305_0', '301890005067306_0', '301890005067307_0', '301890005067308_0', '301890005067309_0', '301890005067310_0']",339.00,152,BATI MIXTE - LOGEMENT/ACTIVITE
